"hypervisorId__hypervisorId","name","guestIds__guestId","guestIds__state","guestIds__attributes__active","guestIds__attributes__virtWhoType","facts__hypervisor.type","facts__dmi.system.uuid","facts__cpu.cpu_socket(s)","facts__hypervisor.cluster","facts__hypervisor.version"
"","","54290042-6595-fa51-fd5c-154bfbc1ef99","5","0","esx","","","","",""
"","","54c80042-a879-0b07-bc44-287625fbb786","5","0","esx","","","","",""
"","","5cc90042-8885-0486-13b5-940888ea90e8","1","1","esx","","","","",""
"","","625f0042-d09f-915c-71dc-47d869ab17b5","1","1","esx","","","","",""
"","","68850042-05ee-579c-ec71-3c19838244f3","1","1","esx","","","","",""
"","","6c080042-cd3a-3450-2d35-0cf075cf2d89","1","1","esx","","","","",""
"","","742a0042-4bd8-7b67-400a-b4f2d1665bb8","1","1","esx","","","","",""
"","","79440042-e9c4-f991-9e75-7e99b1fd36cf","1","1","esx","","","","",""
"","","7f8a0042-3774-7c79-cf77-8969e1d9b526","5","0","esx","","","","",""
"","","7fd80042-3701-11d0-3362-30581ef60045","5","0","esx","","","","",""
"","","81e60042-59bd-73b9-f67b-da47866da03a","1","1","esx","","","","",""
"","","83910042-9cdb-d2a8-2a37-dc2735dad8b8","1","1","esx","","","","",""
"","","8c350042-5223-e9fe-3328-313aa3c64ad6","5","0","esx","","","","",""
"","","927c0042-44ca-7435-9c13-91a252f39b34","1","1","esx","","","","",""
"","","974a0042-8164-45c9-9f9d-c7ff448ca39b","1","1","esx","","","","",""
"","","9f8c0042-1d9e-d312-678b-e5adebcb4e28","1","1","esx","","","","",""
"","","a5d50042-fe6d-6ed1-3003-150ddd29c679","1","1","esx","","","","",""
"","","a7020042-71f6-8011-f893-a2f5b7e913d0","5","0","esx","","","","",""
"","","a8a90042-0f6e-c3b8-400a-6da0728113b6","1","1","esx","","","","",""
"","","aae30042-e25a-38e3-a8b7-806198c12a0c","1","1","esx","","","","",""
"","","abde0042-e000-8b82-c1f0-9f066a1caed2","1","1","esx","","","","",""
"","","be1c0042-5d0b-d208-152a-db3fc411ddec","5","0","esx","","","","",""
"","","c5260042-bd15-319a-b0c2-5a004c5cd3f7","1","1","esx","","","","",""
"","","cf2a0042-0ead-91ac-c1ad-2bf6f5a389e7","1","1","esx","","","","",""
"","","dd820042-c8af-162c-7962-b9b0586c134d","5","0","esx","","","","",""
"","","f1610042-2059-5dce-0fb1-837b2225eed4","1","1","esx","","","","",""
"","","f7ba0042-97fc-145b-1b7b-17953ad0d9f6","1","1","esx","","","","",""
"astron-4.example.com","astron-4.example.com","04bb0042-6ae6-f91a-f9da-0a928db80fb0","1","1","esx","VMware ESXi","4c4c4544-0035-5610-8042-b7c04f513033","2","sysmgmt","6.7.0"
"","","09ad0042-559d-ed3c-aef6-64f4ce9000b6","1","1","esx","","","","",""
"","","0e320042-5251-210a-8fc5-21b2e1738b9c","1","1","esx","","","","",""
"","","16630042-176c-c7aa-37f2-958ae639add6","1","1","esx","","","","",""
"","","31e30042-76b9-e74d-13e4-6a5408214b6b","1","1","esx","","","","",""
"","","386c0042-021c-c52a-04ba-e183d65cca33","5","0","esx","","","","",""
"","","3c6c0042-cb0f-fd7b-8fae-30122cb0a89a","1","1","esx","","","","",""
"","","42170042-7f39-85b6-44bf-512fed9d648a","1","1","esx","","","","",""
"","","520f0042-fddf-08ac-a56d-d3647e09517f","1","1","esx","","","","",""
"","","53bd0042-4172-179a-9ec9-a2694b9b0c67","1","1","esx","","","","",""
"","","54f80042-1bfe-08b6-7fb3-1fb2359f6288","1","1","esx","","","","",""
"","","59160042-70c8-c7e9-a165-e1c9df4cc790","1","1","esx","","","","",""
"","","70a40042-6488-76c4-e632-061542526be9","5","0","esx","","","","",""
"","","76d30042-bf6f-ea0a-641e-902828c8c2fa","1","1","esx","","","","",""
"","","77ce0042-0290-9945-5d6b-52f4ff16d773","1","1","esx","","","","",""
"","","79840042-d972-e0d8-0cdf-24575aeec11d","1","1","esx","","","","",""
"","","7d010042-a0a0-737c-31b6-4db43c5e0a26","1","1","esx","","","","",""
"","","82060042-1deb-34e1-9e34-81e47cf28e97","5","0","esx","","","","",""
"","","82890042-4145-4b4f-8362-43a68291a5ed","1","1","esx","","","","",""
"","","83480042-f6cb-66ef-5aa9-af525dc80e94","1","1","esx","","","","",""
"","","8dfa0042-2231-ae50-966c-074422c3a453","1","1","esx","","","","",""
"","","90710042-8400-77ff-07a6-ca0745a91a9d","1","1","esx","","","","",""
"","","a32f0042-7180-2a34-149c-083412bd8523","1","1","esx","","","","",""
"","","a7670042-ce8a-a05d-91dc-64c968e80ba0","1","1","esx","","","","",""
"","","a8700042-e765-6ee2-da59-2b2500d771ba","1","1","esx","","","","",""
"","","a88d0042-9523-2deb-29e1-53f8b8d7c56f","5","0","esx","","","","",""
"","","b22b0042-0b84-6fbc-8b8b-c522ed218a98","1","1","esx","","","","",""
"","","b5c20042-bb23-d6c2-407c-132b037052f5","5","0","esx","","","","",""
"","","c8270042-8df5-b6d2-f35e-99b708c4bc0f","1","1","esx","","","","",""
"","","c8430042-ff9e-73f1-df6a-d6560aba2c57","1","1","esx","","","","",""
"","","c9130042-886d-e5a8-eb1e-d6a7ddb76f66","5","0","esx","","","","",""
"","","ca080042-46ef-5ad6-4fed-31ddc14a980f","1","1","esx","","","","",""
"","","d2060042-13a4-5004-db66-8c18ca03d3ea","1","1","esx","","","","",""
